Jogador,MINS,PTS,FGA,FTA,DR,OR,AST,TO,STL,BLK,PF,FPG,FPM,Contract,Duration
Bradley Beal,35.50,33.17,24.94,8.67,3.56,1.61,4.72,3.11,1.39,0.61,2.72,28.12,0.79," $25,000,000","4 anos
28.12FPG "
Anthony Davis,33.90,22.24,16.43,5.71,6.57,2.00,3.24,2.00,1.43,1.90,1.90,27.67,0.82," $25,000,000","3 anos
27.67FPG "
Jayson Tatum,35.76,27.00,21.82,3.94,6.53,0.53,4.12,2.53,1.35,0.53,1.65,27.24,0.76," $4,000,000","1 anos
27.24FPG "
Julius Randle,36.92,22.72,16.68,6.44,9.52,1.48,5.96,3.28,0.76,0.20,3.28,26.78,0.73," $11,000,000","2 anos
26.78FPG "
Kyrie Irving,35.81,27.50,19.69,3.88,4.00,0.81,5.69,2.56,0.94,0.81,2.88,26.69,0.75," $22,000,000","3 anos
26.69FPG "
Domantas Sabonis,36.42,21.00,15.04,5.54,8.92,2.75,5.50,3.38,0.79,0.42,3.42,26.50,0.73," $18,000,000","4 anos
26.50FPG "
CJ McCollum,34.15,26.69,20.00,3.46,3.38,0.54,5.00,1.00,1.31,0.31,2.15,26.48,0.78," $17,500,000","2 anos
26.48FPG "
Trae Young,34.67,26.67,17.81,10.48,3.29,0.76,9.19,4.29,0.71,0.29,2.14,26.18,0.76," $4,000,000","2 anos
26.18FPG "
Christian Wood,31.59,22.00,15.71,3.76,8.41,1.82,1.29,1.82,0.94,1.53,1.88,26.16,0.83," $1,500,000","1 anos
26.16FPG "
Jimmy Butler,31.27,18.18,12.91,7.82,5.00,1.82,6.55,1.82,2.00,0.45,0.91,26.01,0.83," $25,000,000","3 anos
26.01FPG "
Andre Drummond,30.09,18.48,15.87,5.48,10.00,4.22,2.65,3.30,1.65,1.26,2.78,26.00,0.86," $19,500,000","4 anos
26.00FPG "
Bam Adebayo,33.48,20.19,12.86,6.00,7.43,1.81,5.19,2.86,0.86,1.00,2.52,25.68,0.77," $3,500,000","1 anos
25.68FPG "
Paul George,34.30,24.35,16.55,4.20,5.55,0.65,5.45,3.60,1.20,0.45,2.25,25.63,0.75," $22,000,000","2 anos
25.63FPG "
Clint Capela,29.90,13.70,10.90,3.15,9.75,4.80,1.10,1.35,0.75,2.35,2.20,25.60,0.86," $20,000,000","3 anos
25.60FPG "
Rudy Gobert,29.75,13.25,8.50,5.42,9.88,3.71,1.29,1.63,0.42,2.71,2.21,25.12,0.84," $21,000,000","2 anos
25.12FPG "
Zach LaVine,35.57,27.39,18.96,5.57,4.52,0.65,5.30,3.83,1.17,0.48,2.74,24.70,0.69," $16,500,000","3 anos
24.70FPG "
Shai Gilgeous-Alexander,33.71,22.57,15.71,6.24,4.90,0.67,6.52,2.95,0.86,0.67,2.05,24.38,0.72," $3,500,000","2 anos
24.38FPG "
Brandon Ingram,35.14,23.86,17.82,5.45,4.91,0.64,4.68,2.45,0.59,1.09,1.55,24.26,0.69," $17,000,000","4 anos
24.26FPG "
DeMar DeRozan,34.18,20.55,13.91,7.00,4.45,0.73,6.77,1.68,0.77,0.36,1.86,24.23,0.71," $20,000,000","4 anos
24.23FPG "
Jaylen Brown,33.60,26.35,19.55,4.65,4.40,1.10,3.55,2.45,1.30,0.65,2.85,24.19,0.72," $18,000,000","4 anos
24.19FPG "
Khris Middleton,32.46,20.79,14.54,3.33,5.25,0.83,6.04,2.33,1.04,0.08,2.50,23.83,0.73," $13,500,000","3 anos
23.83FPG "
Fred VanVleet,36.63,20.71,16.79,3.83,3.54,0.79,6.42,1.92,1.83,0.71,2.17,23.54,0.64," $4,000,000","3 anos
23.54FPG "
Zion Williamson,32.76,23.71,15.43,7.48,4.57,2.62,2.71,2.52,0.95,0.81,2.62,23.50,0.72," $5,500,000","3 anos
23.50FPG "
Russell Westbrook,33.50,20.25,18.17,5.75,7.42,1.42,8.92,4.92,0.92,0.33,2.92,23.30,0.70," $25,000,000","1 anos
23.30FPG "
Malcolm Brogdon,36.13,21.67,18.25,3.04,3.42,0.58,6.67,1.96,1.33,0.25,1.92,23.06,0.64," $16,000,000","4 anos
23.06FPG "
Gordon Hayward,36.27,23.00,16.95,4.45,4.64,0.82,3.91,2.05,1.23,0.50,2.00,23.03,0.63," $20,000,000","1 anos
23.03FPG "
Ben Simmons,33.10,13.52,9.52,4.81,6.81,1.48,7.95,3.57,1.76,0.86,3.38,22.62,0.68," $18,000,000","4 anos
22.62FPG "
Tobias Harris,34.00,20.19,15.38,2.86,6.05,1.33,3.00,2.33,0.86,0.90,2.05,22.53,0.66," $19,000,000","3 anos
22.53FPG "
Jerami Grant,36.22,23.96,17.70,6.43,4.52,1.00,2.96,1.39,0.83,1.17,2.78,22.29,0.62," $8,000,000","4 anos
22.29FPG "
Pascal Siakam,35.95,20.24,16.48,4.90,5.52,2.29,4.62,2.33,1.14,0.62,3.19,22.29,0.62," $12,500,000","3 anos
22.29FPG "
Jrue Holiday,32.65,16.39,13.00,1.87,3.52,1.26,5.39,1.52,1.91,0.61,1.74,21.76,0.67," $17,000,000","1 anos
21.76FPG "
Kristaps Porzingis,30.36,20.00,16.79,2.93,6.50,2.14,1.50,1.29,0.29,1.79,3.00,21.53,0.71," $18,000,000","3 anos
21.53FPG "
Donovan Mitchell,33.55,23.50,18.82,4.45,3.27,1.05,4.91,3.14,0.82,0.32,2.05,21.45,0.64," $2,500,000","1 anos
21.45FPG "
De'Aaron Fox,33.09,22.96,17.30,6.52,2.57,0.70,6.52,3.22,1.22,0.52,2.65,21.30,0.64," $5,000,000","1 anos
21.30FPG "
Deandre Ayton,32.74,14.00,10.65,2.43,8.96,3.83,1.96,2.17,0.30,1.13,3.35,21.27,0.65," $5,500,000","2 anos
21.27FPG "
Harrison Barnes,35.91,17.09,11.48,4.48,5.35,1.13,3.48,1.43,0.74,0.22,1.04,20.72,0.58," $9,000,000","4 anos
20.72FPG "
Chris Paul,32.73,16.36,13.00,3.00,4.00,0.59,8.18,2.45,1.23,0.23,2.82,20.70,0.63," $14,000,000","4 anos
20.70FPG "
Caris LeVert,28.42,18.50,16.67,2.83,3.50,0.83,6.00,2.17,1.08,0.50,1.67,20.27,0.71," $10,000,000","1 anos
20.27FPG "
Dejounte Murray,31.13,14.96,13.71,2.17,6.50,0.67,5.13,1.75,1.63,0.08,2.21,20.07,0.64," $8,500,000","4 anos
20.07FPG "
John Wall,30.29,18.79,15.21,4.07,3.07,0.64,6.00,3.14,0.93,0.79,1.29,20.01,0.66," $6,500,000","3 anos
20.01FPG "
Victor Oladipo,32.74,19.79,18.05,3.74,5.05,0.21,4.74,2.26,1.37,0.42,2.47,19.62,0.60," $19,500,000","2 anos
19.62FPG "
Jonas Valanciunas,26.87,15.47,10.33,4.60,7.67,2.93,1.80,2.27,0.67,1.07,3.67,19.54,0.73," $13,000,000","4 anos
19.54FPG "
Mike Conley,29.52,16.48,12.65,2.83,2.65,1.00,5.83,2.00,1.39,0.09,1.83,19.43,0.66," $9,000,000","3 anos
19.43FPG "
John Collins,31.65,17.83,12.83,2.74,5.70,2.09,1.65,1.39,0.48,1.04,3.35,19.17,0.61," $1,500,000","1 anos
19.17FPG "
Malik Beasley,32.04,20.54,16.79,2.58,4.21,0.96,2.50,1.46,0.75,0.21,1.46,19.03,0.59," $6,000,000","4 anos
19.03FPG "
Ja Morant,29.64,18.55,14.36,5.36,1.64,0.55,7.36,2.91,1.09,0.36,1.64,18.97,0.64," $5,000,000","3 anos
18.97FPG "
Kyle Lowry,35.05,16.95,13.19,3.38,4.81,0.90,6.67,2.95,1.05,0.14,3.24,18.95,0.54," $10,500,000","4 anos
18.95FPG "
Jarrett Allen,26.17,11.54,6.04,4.38,6.04,2.79,1.54,1.38,0.46,1.71,1.71,18.72,0.72," $3,000,000","1 anos
18.72FPG "
Myles Turner,31.77,13.73,9.64,3.18,5.50,1.27,1.09,1.55,1.23,3.64,3.50,18.55,0.58," $13,500,000","3 anos
18.55FPG "
Enes Kanter,23.76,11.29,8.00,2.33,6.71,3.95,1.05,1.24,0.52,0.95,2.24,18.54,0.78," $15,000,000","2 anos
18.54FPG "
Al Horford,27.80,13.73,12.47,0.67,6.13,0.87,3.00,1.33,0.93,0.93,1.73,18.15,0.65," $7,000,000","4 anos
18.15FPG "
LaMelo Ball,26.61,13.74,11.48,2.65,4.35,1.48,6.04,2.52,1.48,0.35,2.61,18.10,0.68," $5,000,000","4 anos
18.10FPG "
Collin Sexton,35.15,23.60,17.80,5.35,1.85,0.60,4.10,2.50,0.95,0.20,2.85,18.09,0.51," $3,500,000","2 anos
18.09FPG "
Devin Booker,35.42,23.47,17.84,5.11,3.42,0.16,4.26,3.89,0.95,0.37,3.21,18.00,0.51," $18,000,000","3 anos
18.00FPG "
Jamal Murray,35.19,18.57,15.86,3.14,3.19,0.71,4.43,2.00,1.05,0.29,2.29,17.80,0.51," $18,000,000","4 anos
17.80FPG "
